,Country,Agriculture type,Y2009,Y2019
292,cabo verde,"mangoes, mangosteens, guavas",1700.0,762.0
293,cabo verde,"onions, dry",4518.0,3167.0
294,cabo verde,potatoes,3760.0,2666.0
295,cabo verde,pulses nes,5500.0,5077.0
296,cabo verde,"pumpkins, squash and gourds",800.0,669.0
297,cabo verde,sugar cane,24611.0,20620.0
298,cabo verde,sweet potatoes,7700.0,3395.0
299,cabo verde,tomatoes,15965.0,14329.0
300,cabo verde,"vegetables, fresh nes",4550.0,5077.0
301,cabo verde,watermelons,2127.0,995.0
302,cabo verde,"cereals, total",7383.0,640.0
303,cabo verde,fruit primary,13981.0,11299.0
304,cabo verde,oilcrops,5271.0,5334.0
305,cabo verde,"oilcrops, cake equivalent",416.0,421.0
306,cabo verde,"oilcrops, oil equivalent",704.0,713.0
307,cabo verde,"pulses, total",5500.0,5077.0
308,cabo verde,"roots and tubers, total",15410.0,11185.0
309,cabo verde,sugar crops primary,24611.0,20620.0
310,cabo verde,vegetables primary,37259.0,33007.0
311,cameroon,apricots,680.0,1146.0
312,cameroon,avocados,54000.0,74668.0
313,cameroon,bambara beans,25644.0,51265.0
314,cameroon,bananas,1223233.0,1207375.0
315,cameroon,"beans, dry",327526.0,413723.0
316,cameroon,"beans, green",3705.0,4925.0
317,cameroon,"broad beans, horse beans, dry",320.0,410.0
318,cameroon,cabbages and other brassicas,52277.0,73743.0
319,cameroon,cassava,3340562.0,6092549.0
320,cameroon,chestnut,100.0,151.0
321,cameroon,chicory roots,142.0,151.0
322,cameroon,"chillies and peppers, dry",23500.0,49518.0
323,cameroon,"chillies and peppers, green",25987.0,66856.0
324,cameroon,"cocoa, beans",235500.0,280000.0
325,cameroon,coconuts,4997.0,3945.0
326,cameroon,"coffee, green",48123.0,28058.0
327,cameroon,"cow peas, dry",141206.0,215016.0
328,cameroon,cucumbers and gherkins,171659.0,302844.0
329,cameroon,dates,474.0,638.0
330,cameroon,eggplants (aubergines),1735.0,2537.0
331,cameroon,figs,68.0,101.0
332,cameroon,"fruit, citrus nes",30.0,80.0
333,cameroon,"fruit, fresh nes",120000.0,171742.0
334,cameroon,"fruit, stone nes",5574.0,7834.0
335,cameroon,ginger,33086.0,83434.0
336,cameroon,grapefruit (inc. pomelos),85.0,117.0
337,cameroon,"groundnuts, with shell",503175.0,500000.0
338,cameroon,"hazelnuts, with shell",107.0,185.0
339,cameroon,jute,89.0,107.0
340,cameroon,kola nuts,39824.0,50518.0
341,cameroon,"leeks, other alliaceous vegetables",249.0,330.0
342,cameroon,maize,1625213.0,2309535.0
343,cameroon,"mangoes, mangosteens, guavas",668.0,967.0
344,cameroon,"melons, other (inc.cantaloupes)",42000.0,48835.0
345,cameroon,melonseed,60000.0,50973.0
346,cameroon,millet,59600.0,105271.0
347,cameroon,nuts nes,13.0,635.0
348,cameroon,oil palm fruit,1600000.0,2165487.0
349,cameroon,oilseeds nes,118.0,130.0
350,cameroon,okra,47169.0,104216.0
351,cameroon,"onions, dry",50705.0,325196.0
352,cameroon,papayas,34.0,46.0
353,cameroon,peaches and nectarines,792.0,1171.0
354,cameroon,pepper (piper spp.),100.0,93.0
355,cameroon,pineapples,147767.0,348340.0
356,cameroon,plantains and others,2758953.0,4779709.0
357,cameroon,plums and sloes,460.0,713.0
358,cameroon,potatoes,166772.0,363556.0
359,cameroon,pulses nes,2583.0,3420.0
360,cameroon,"pumpkins, squash and gourds",153662.0,205471.0
361,cameroon,"rice, paddy",134659.0,313084.0
362,cameroon,"rice, paddy (rice milled equivalent)",89818.0,208827.0
363,cameroon,roots and tubers nes,38000.0,45906.0
364,cameroon,"rubber, natural",52321.0,50521.0
365,cameroon,seed cotton,140000.0,322464.0
366,cameroon,sesame seed,11595.0,70000.0
367,cameroon,sorghum,1000000.0,1216926.0
368,cameroon,soybeans,11595.0,23058.0
369,cameroon,sugar cane,1450000.0,1285769.0
370,cameroon,sweet potatoes,266078.0,495177.0
371,cameroon,taro (cocoyam),1450000.0,1909738.0
372,cameroon,tea,6000.0,5898.0
373,cameroon,"tobacco, unmanufactured",5343.0,6819.0
374,cameroon,tomatoes,666607.0,1215466.0
375,cameroon,"vegetables, fresh nes",820000.0,805580.0
376,cameroon,watermelons,40486.0,80236.0
377,cameroon,wheat,802.0,866.0
378,cameroon,yams,466749.0,685426.0
379,cameroon,"cereals, total",2820274.0,3945682.0
380,cameroon,"citrus fruit, total",115.0,197.0
381,cameroon,fibre crops primary,89.0,107.0
382,cameroon,fruit primary,4395304.0,6723718.0
383,cameroon,oilcrops,2331480.0,3136057.0
384,cameroon,"oilcrops, cake equivalent",337653.0,446064.0
385,cameroon,"oilcrops, oil equivalent",538982.0,703809.0
386,cameroon,"pulses, total",497279.0,683834.0
387,cameroon,"roots and tubers, total",5728161.0,9592352.0
388,cameroon,sugar crops primary,1450000.0,1285769.0
389,cameroon,"treenuts, total",220.0,971.0
390,cameroon,vegetables primary,1993755.0,3107164.0
391,central african republic,avocados,4800.0,8580.0
392,central african republic,bananas,125000.0,138132.0
393,central african republic,"bastfibres, other",86.0,111.0
394,central african republic,cassava,642897.0,730362.0
395,central african republic,"chillies and peppers, dry",100.0,116.0
396,central african republic,"cocoa, beans",100.0,152.0
397,central african republic,"coffee, green",3544.0,10129.0
398,central african republic,grapefruit (inc. pomelos),4693.0,5637.0
399,central african republic,"groundnuts, with shell",162691.0,143614.0
400,central african republic,lemons and limes,2100.0,2932.0
401,central african republic,maize,151168.0,90000.0
402,central african republic,"mangoes, mangosteens, guavas",9800.0,12959.0
403,central african republic,melonseed,33333.0,42813.0
404,central african republic,millet,10000.0,10000.0
405,central african republic,oil palm fruit,9200.0,1699.0
406,central african republic,oilseeds nes,16445.0,18824.0
407,central african republic,oranges,23000.0,36597.0
408,central african republic,pineapples,14200.0,17225.0
409,central african republic,plantains and others,85000.0,87436.0
410,central african republic,potatoes,1175.0,1468.0
411,central african republic,pulses nes,31299.0,45835.0
412,central african republic,"pumpkins, squash and gourds",32906.0,19978.0
413,central african republic,"rice, paddy",39110.0,9776.0
414,central african republic,"rice, paddy (rice milled equivalent)",26086.0,6521.0
415,central african republic,"rubber, natural",1020.0,1200.0
416,central african republic,seed cotton,7468.0,21200.0
417,central african republic,sesame seed,50008.0,6792.0
418,central african republic,sisal,175.0,238.0
419,central african republic,sorghum,50389.0,30000.0
420,central african republic,sugar cane,95000.0,120382.0
421,central african republic,taro (cocoyam),111027.0,140957.0
422,central african republic,"tobacco, unmanufactured",522.0,496.0
423,central african republic,"vegetables, fresh nes",65366.0,75943.0
424,central african republic,yams,395064.0,511321.0
425,central african republic,"cereals, total",250667.0,139776.0
426,central african republic,"citrus fruit, total",29793.0,45166.0
427,central african republic,fibre crops primary,261.0,349.0
428,central african republic,fruit primary,268593.0,309498.0
429,central african republic,oilcrops,279145.0,234942.0
430,central african republic,"oilcrops, cake equivalent",119880.0,101884.0
431,central african republic,"oilcrops, oil equivalent",87999.0,67003.0
432,central african republic,"pulses, total",31299.0,45835.0
433,central african republic,"roots and tubers, total",1150163.0,1384108.0
434,central african republic,sugar crops primary,95000.0,120382.0
435,central african republic,vegetables primary,98272.0,95921.0
436,chad,"beans, dry",48510.0,152903.0
437,chad,cassava,191527.0,296976.0
438,chad,cereals nes,315388.0,528373.0
439,chad,dates,18898.0,21458.0
440,chad,"fruit, fresh nes",64000.0,69116.0
441,chad,"groundnuts, with shell",517449.0,939252.0
442,chad,maize,209031.0,414606.0
443,chad,"mangoes, mangosteens, guavas",33035.0,35515.0
444,chad,melonseed,20629.0,25382.0
445,chad,millet,319981.0,717621.0
446,chad,"onions, dry",17200.0,24118.0
447,chad,potatoes,50000.0,39853.0
448,chad,pulses nes,5229.0,20891.0
449,chad,"rice, paddy",130704.0,290563.0
450,chad,"rice, paddy (rice milled equivalent)",87180.0,193806.0
451,chad,seed cotton,65000.0,325000.0
452,chad,sesame seed,61415.0,170000.0
453,chad,sorghum,600963.0,972516.0
454,chad,sugar cane,445000.0,477194.0
455,chad,sweet potatoes,28856.0,217324.0
456,chad,taro (cocoyam),28152.0,25136.0
457,chad,"tobacco, unmanufactured",182.0,180.0
458,chad,"vegetables, fresh nes",83934.0,87990.0
459,chad,wheat,5000.0,1613.0
460,chad,yams,330000.0,564728.0
461,chad,"cereals, total",1581067.0,2925292.0
462,chad,fibre crops primary,0.0,0.0
463,chad,fruit primary,115933.0,126089.0
464,chad,oilcrops,664493.0,1459634.0
465,chad,"oilcrops, cake equivalent",261214.0,563267.0
466,chad,"oilcrops, oil equivalent",194384.0,395250.0
467,chad,"pulses, total",53739.0,173794.0
468,chad,"roots and tubers, total",628535.0,1144017.0
469,chad,sugar crops primary,445000.0,477194.0
470,chad,vegetables primary,101134.0,112108.0
471,comoros,bananas,64724.0,22785.0
472,comoros,cassava,65000.0,65071.0
473,comoros,cloves,2662.0,6471.0
474,comoros,"cocoa, beans",34.0,51.0
475,comoros,coconuts,89533.0,86970.0
476,comoros,"coffee, green",124.0,141.0
477,comoros,"fruit, fresh nes",3835.0,3900.0
478,comoros,"groundnuts, with shell",904.0,986.0
479,comoros,maize,4966.0,7179.0
480,comoros,"onions, shallots, green",210.0,302.0
481,comoros,pigeon peas,344.0,404.0
482,comoros,potatoes,760.0,666.0
483,comoros,pulses nes,10776.0,16271.0
484,comoros,"rice, paddy",21263.0,35510.0
485,comoros,"rice, paddy (rice milled equivalent)",14182.0,23685.0
486,comoros,spices nes,60.0,62.0
487,comoros,sweet potatoes,6503.0,8001.0
488,comoros,taro (cocoyam),9836.0,11029.0
489,comoros,tomatoes,634.0,680.0
490,comoros,vanilla,45.0,7.0
491,comoros,"vegetables, fresh nes",4154.0,4791.0
492,comoros,yams,4456.0,4703.0
493,comoros,"cereals, total",26229.0,42689.0
494,comoros,fruit primary,68559.0,26685.0
495,comoros,oilcrops,90437.0,87956.0
496,comoros,"oilcrops, cake equivalent",7506.0,7332.0
497,comoros,"oilcrops, oil equivalent",11910.0,11602.0
498,comoros,"pulses, total",11120.0,16675.0
499,comoros,"roots and tubers, total",86555.0,89470.0
500,comoros,vegetables primary,4998.0,5773.0
501,congo,avocados,7800.0,10326.0
502,congo,bananas,81400.0,85057.0
503,congo,"beans, dry",4100.0,4359.0
504,congo,"beans, green",3942.0,4246.0
505,congo,cabbages and other brassicas,1425.0,1646.0
506,congo,carrots and turnips,406.0,533.0
507,congo,cassava,1231000.0,1457028.0
508,congo,cassava leaves,77992.0,91865.0
509,congo,cereals nes,2200.0,2545.0
510,congo,"cocoa, beans",800.0,4000.0
511,congo,coconuts,3424.0,3000.0
512,congo,"coffee, green",2700.0,3069.0
513,congo,eggplants (aubergines),2182.0,2672.0
514,congo,"fruit, fresh nes",27500.0,30747.0
515,congo,grapefruit (inc. pomelos),3944.0,5786.0
516,congo,"groundnuts, with shell",29100.0,24116.0
517,congo,"leeks, other alliaceous vegetables",1621.0,1867.0
518,congo,lemons and limes,4200.0,5226.0
519,congo,lettuce and chicory,777.0,822.0
520,congo,maize,10200.0,14000.0
521,congo,"mangoes, mangosteens, guavas",37900.0,37040.0
522,congo,melonseed,3350.0,3623.0
523,congo,millet,10000.0,14499.0
524,congo,oil palm fruit,140000.0,155789.0
525,congo,okra,1165.0,1748.0
526,congo,"onions, dry",555.0,612.0
527,congo,oranges,2400.0,2221.0
528,congo,papayas,3100.0,3953.0
529,congo,"peas, dry",5793.0,6946.0
530,congo,pineapples,4100.0,3412.0
531,congo,plantains and others,80350.0,67811.0
532,congo,potatoes,5100.0,6013.0
533,congo,"rice, paddy",1500.0,1214.0
534,congo,"rice, paddy (rice milled equivalent)",1001.0,810.0
535,congo,roots and tubers nes,47315.0,61958.0
536,congo,"rubber, natural",1900.0,2710.0
537,congo,sesame seed,285.0,263.0
538,congo,spinach,1047.0,779.0
539,congo,sugar cane,600000.0,707136.0
540,congo,sweet potatoes,6853.0,9395.0
541,congo,"tangerines, mandarins, clementines, satsumas",2400.0,2647.0
542,congo,"tobacco, unmanufactured",374.0,503.0
543,congo,tomatoes,3291.0,3979.0
544,congo,"vegetables, fresh nes",40000.0,39435.0
545,congo,yams,13500.0,16247.0
546,congo,"cereals, total",23900.0,32258.0
547,congo,"citrus fruit, total",12944.0,15880.0
548,congo,fruit primary,255094.0,254226.0
549,congo,oilcrops,176159.0,186791.0
550,congo,"oilcrops, cake equivalent",17855.0,16573.0
551,congo,"oilcrops, oil equivalent",40767.0,42724.0
552,congo,"pulses, total",9893.0,11305.0
553,congo,"roots and tubers, total",1303768.0,1550641.0
554,congo,sugar crops primary,600000.0,707136.0
555,congo,vegetables primary,134403.0,150204.0
556,côte d`ivoire,"almonds, with shell",1050.0,2032.0
557,côte d`ivoire,avocados,28614.0,39061.0
558,côte d`ivoire,bananas,254977.0,371675.0
559,côte d`ivoire,"beans, dry",33000.0,43217.0
560,côte d`ivoire,"beans, green",4285.0,5055.0
561,côte d`ivoire,"cashew nuts, with shell",350000.0,792678.0
562,côte d`ivoire,cassava,2262170.0,5238244.0
563,côte d`ivoire,"chillies and peppers, dry",85000.0,175758.0
564,côte d`ivoire,"chillies and peppers, green",25450.0,27052.0
565,côte d`ivoire,"cocoa, beans",1223153.0,2180000.0
566,côte d`ivoire,coconuts,145705.0,105386.0
567,côte d`ivoire,"coffee, green",142945.0,67697.0
568,côte d`ivoire,coir,2100.0,2186.0
569,côte d`ivoire,cucumbers and gherkins,20937.0,21284.0
570,côte d`ivoire,eggplants (aubergines),81476.0,103757.0
571,côte d`ivoire,fonio,16920.0,20575.0
572,côte d`ivoire,"fruit, citrus nes",37456.0,43697.0
573,côte d`ivoire,"fruit, fresh nes",17800.0,23514.0
574,côte d`ivoire,"fruit, tropical fresh nes",45200.0,50075.0
575,côte d`ivoire,ginger,7000.0,7083.0
576,côte d`ivoire,grapefruit (inc. pomelos),19835.0,25400.0
